Title,Ingredients,Removed amounts and measurements
Leek Cake with Dried Tomatoes,"['350 grams Pastry flour', '1 Egg', '1 Egg yolk', 'Salt', '3 tablespoons Milk', '150 grams Butter', '500 grams Quark', '100 grams Whipping cream', '3 Eggs', '1 tablespoon Lemon juice', '2 Garlic cloves', '1 stalk Leek', '300 grams sun-dried Tomatoes (in oil)', '0.5 bunch Chives', '4 baby Scallions', '1 package Peas (dried)', '1 Plastic wrap']","['flour','egg','egg','salt','milk','butter','quark','cream','egg','lemon','clove','leek','tomato','chives','scallions','peas','plastic wrap']"
Tomato Tart with Balsamic and Fresh Herbs,"['250 grams Pastry flour', '1 pinch Salt', '125 grams cold Butter', '1 Egg', 'Fat (for the tart molds)', '400 grams ripe Cherry tomatoes', 'Salt', 'freshly ground Pepper', '1 tablespoon white Balsamic vinegar', '1 tablespoon Olive oil', 'Rosemary needle (for garnish)', 'Basil (for garnish)']","['flour','salt','butter','egg','fat','tomato','salt','pepper','vinegar','oil','rosemary','basil']"
"Broccoli, Tomato and Bacon Quiche","['125 grams Quark', '5 tablespoons Corn oil', '1 pinch Salt', '1 Egg', '250 grams Pastry flour', '0.5 teaspoon Baking powder', '250 grams Broccoli', '250 grams small Tomatoes', '100 grams Bacon (sliced)', '250 grams Whipping cream', '1 Egg yolk', '1 Egg', '100 grams grated Gruyére cheese', 'Salt', 'Pepper']","['quark','corn','salt','egg','flour','baking powder','broccoli','tomato','bacon','cream','egg','egg','cheese','salt','pepper']"
Asparagus Quiche with Strawberries,"['75 grams cold Butter', '100 grams Pastry flour', '100 grams ground Hazelnuts', '1 Egg', '1 pinch Salt', 'Olive oil (for the pan)', '750 grams green Asparagus', 'Salt', '200 milliliters Whipping cream', '200 grams Creme fraiche cheese', '2 tablespoons freshly cut Basil', '4 Eggs', '100 grams freshly grated Cheese (gruyere)', 'Pepper', 'Nutmeg', '150 grams Strawberry half', 'Basil leaf']","['butter','flour','hazelnuts','egg','salt','oil','asparagus','salt','cream','creme fraiche','basil','egg','gruyere','pepper','nutmeg','150 grams strawberry half','basil']"
Tuna and Vegetable Quiche,"['200 grams Pastry flour', '1 pinch Salt', '125 grams cold Butter (cubed)', '1 Egg', '400 grams canned Tuna', '1 Carrot', '2 Onions', '1 stalk Leek', '250 grams frozen Peas', '4 Eggs', '250 milliliters Whipping cream', '50 grams Creme fraiche cheese', '150 grams grated Cheese (such as Emmentaler)', 'Salt', 'freshly ground Pepper']","['flour','salt','butter','egg','tuna','carrot','onion','leek','peas','egg','cream','creme fraiche','ale','salt','pepper']"
Potato Cheesecake,"['1.5 kilograms Potatoes', '100 grams grated Parmesan', '100 grams grated Pecorino cheese', '125 grams Fresh mozzarella', '125 grams smoked Fresh mozzarella', '2 tablespoons finely chopped Basil', '300 grams Whipping cream', '2 Egg yolks', '2 Eggs', '4 tablespoons Breadcrumbs', 'Salt', 'Pepper (freshly ground)']","['potato','parmesan','pecorino','mozzarella','mozzarella','basil','cream','egg','egg','rum','salt','pepper']"
Spinach Quiche with Parsnip and Feta,"['400 grams Spinach', '2 handfuls Parsley', 'Salt', '2 fresh Garlic cloves', '1 red Chile pepper', '250 grams Parnsip', '50 grams green Olives (pitted)', '200 grams Feta cheese', 'freshly ground Pepper', 'Nutmeg', '2 tablespoons Olive oil', '250 grams Filo dough', '250 grams Creme fraiche cheese', '3 Eggs', '60 grams grated Cheese (such as Pecorino)']","['spinach','parsley','salt','clove','chile','parnsip','olives','feta','pepper','nutmeg','oil','filo dough','creme fraiche','egg','pecorino']"
Salmon and Scallion Quiche,"['250 grams Pastry flour', '125 grams cold Butter', '1 pinch Salt', '1 Egg', '3 bunches Scallions', '2 tablespoons Butter', 'Salt', 'freshly ground Pepper', '1 generous pinch Cayenne pepper', '250 grams Smoked salmon (in slices)', '150 grams Sour cream', '100 grams Whipping cream', '2 Eggs']","['flour','butter','salt','egg','scallions','butter','salt','pepper','cayenne','salmon','cream','cream','egg']"
Bacon Quiche,"['150 grams Pastry flour', '80 grams Butter', '1 teaspoon Salt', '1 Egg', 'Butter (for the pan)', 'Pastry flour (for the pan)', 'Pastry flour (to work)', '200 grams smoked Bacon', '1 Onion', '4 Eggs', '150 milliliters Milk', '250 milliliters Whipping cream', '150 grams Creme fraiche cheese', 'Salt', 'freshly ground Pepper', 'freshly grated Nutmeg', '100 grams grated Gruyére cheese']","['flour','butter','tea','egg','butter','flour','flour','bacon','onion','egg','milk','cream','creme fraiche','salt','pepper','nutmeg','cheese']"
Tomato and Arugula Tart,"['100 grams cold Butter', '200 grams Pastry flour', '1 Egg', '1 pinch Salt', 'Olive oil (for the baking pan)', '500 grams Tomatoes', 'Salt', '250 grams Ricotta cheese', '3 Eggs', '50 milliliters Whipping cream', '200 grams crumbled Goat cheese', 'freshly ground Pepper', '1 tablespoon Honey', '1 handful Arugula']","['butter','flour','egg','salt','oil','tomato','salt','ricotta','egg','cream','cheese','pepper','honey','arugula']"
Bacon and Leek Quiche,"['10 grams fresh Yeast', '75 milliliters room temperature Milk', '175 grams Pastry flour', '50 grams softened Butter', '1 pinch Salt', 'Butter (for the mold)', '2 sticks Leek', '200 grams fatty Smoked bacon (in slices)', '400 milliliters Whipping cream', '4 Eggs', '50 grams freshly grated Gruyére cheese', 'freshly ground Pepper', 'Nutmeg']","['yeast','milk','flour','butter','salt','butter','leek','bacon','cream','egg','cheese','pepper','nutmeg']"
Mushroom and Bacon Quiche,"['200 grams Pastry flour', '125 grams Butter', '1 Egg', '1 teaspoon Salt', 'Butter (for the mold)', 'Pastry flour (for the mold)', '200 grams smoked Bacon', '1 Onion', '250 grams Chestnut mushroom', '4 Eggs', '150 milliliters Milk', '250 milliliters Whipping cream (at least 30% fat content)', '100 grams Creme fraiche cheese', 'Salt (and)', 'freshly ground Pepper', 'Nutmeg', '75 grams grated Gruyére cheese']","['flour','butter','egg','tea','butter','flour','bacon','onion','mushroom','egg','milk','cream','creme fraiche','salt','pepper','nutmeg','cheese']"
Asparagus Quiche with Salmon,"['350 Puff pastry dough (frozen)', '700 grams white Asparagus', '400 grams Salmon', '1 bunch Dill', 'Pastry flour (for work surface)', '4 Eggs', '350 milliliters Whipping cream', '2 tablespoons freshly grated Parmesan', '5 tablespoons Creme fraiche cheese', 'Salt', 'Pepper', 'Nutmeg (ground)']","['pastry','asparagus','salmon','dill','flour','egg','cream','parmesan','creme fraiche','salt','pepper','nutmeg']"
Vegetable Quiche,"['250 grams Pastry flour', '1 pinch Salt', '125 grams Butter', '1 Egg', '2 Onions', '1 Garlic clove', '2 Tomatoes', '1 Zucchini', '1 small eggplant', '2 tablespoons Olive oil', 'black Pepper', 'ground paprika (sweet)', '2 tablespoons finely chopped Parsley', '100 grams grated Parmesan', '2 Eggs', '150 grams Creme fraiche cheese', '50 milliliters Whipping cream', '1 teaspoon dried Oregano', 'Butter (for the pan)', 'chopped Parsley (to sprinkle)']","['flour','salt','butter','egg','onion','garlic','tomato','zucchini','egg','oil','pepper','paprika','parsley','parmesan','egg','creme fraiche','cream','oregano','butter','parsley']"
Sauerkraut Tart,"['200 grams Pastry flour', '1 pinch Salt', '1 Egg', '130 grams Butter', '1 small Onion', '1 tart Apple (such as Granny Smith)', '70 grams diced Bacon', '500 grams Sauerkraut (canned)', '2 Juniper berries', '0.5 teaspoon Caraway', '1 Bay leaf', 'freshly ground Pepper', '150 milliliters dry White wine (or apple juice)', 'Pastry flour (for thework surface)', 'Fat (for the pan)', '5 Eggs', '200 milliliters Whipping cream', '100 grams grated Cheese (such as Gauda)']","['flour','salt','egg','butter','onion','apple','bacon','sauerkraut','juniper berries','tea','bay leaf','pepper','apple','flour','pan','egg','cream','cheese']"
Tomato Quiche,"['250 grams Pastry flour', '125 grams cold Butter', '1 pinch Salt', '1 Egg', 'Plastic wrap', 'dried Peas (for baking weight)', '500 grams Tomatoes (blanched, skinned, seeded and coarsely chopped)', '1 bunch Basil (finely chopped)', '150 grams Creme fraiche cheese', '3 Eggs', '1 tablespoon Olive oil', 'Salt', 'freshly ground Pepper', '4 tablespoons grated Gruyére cheese']","['flour','butter','salt','egg','plastic wrap','peas','tomato','basil','creme fraiche','egg','oil','salt','pepper','cheese']"
Bacon and Onion Tart,"['200 grams Pastry flour', '100 grams cold Butter', '1 Egg yolk', 'Salt', '6 Onions', '250 grams marbled Bacon', '2 tablespoons Sunflower oil', '0.5 teaspoon Caraway', 'Butter (for the pan)', 'Pastry flour (for the work surface)', '4 Eggs', '200 milliliters Whipping cream', '200 milliliters Milk', '75 grams grated Gruyére cheese', 'freshly ground Pepper', 'Nutmeg']","['flour','butter','egg','salt','onion','bacon','oil','tea','butter','flour','egg','cream','milk','cheese','pepper','nutmeg']"
Provençale-style Quiche,"['300 grams Puff pastry dough', '6 stalks green Asparagus', 'Salt', '100 grams Button mushrooms', '8 Cherry tomatoes', '1 red Bell pepper', '0.5 Zucchini', '0.5 eggplant', '80 grams Prosciutto (sliced)', '1 Garlic clove', 'Olive oil', 'freshly ground Pepper', '3 Eggs', '150 grams Creme fraiche cheese', '150 milliliters Whipping cream', '3 tablespoons freshly grated Parmesan', 'Nutmeg (freshly grated)', '2 tablespoons melted Butter']","['pastry','asparagus','salt','mushroom','tomato','pepper','zucchini','egg','prosciutto','garlic','oil','pepper','egg','creme fraiche','cream','parmesan','nutmeg','butter']"
Vegetarian Vegetable Tart,"['250 grams Pastry flour (and some flour for the work surface)', 'Salt', '3 Eggs', '180 grams Cultured butter', '2 Zucchini', '200 grams Cherry tomatoes', '150 grams Broccoli floret', '200 grams Sour cream', '2 tablespoons Whipping cream', 'Pepper', 'Nutmeg', '150 grams Goat cheese']","['flour','salt','egg','butter','zucchini','tomato','broccoli','cream','cream','pepper','nutmeg','cheese']"
Quiche with Salmon and Pears,"['300 grams Puff pastry dough (frozen)', '2 Scallions', '500 grams Salmon (ready to cook, skinless)', '3 Eggs', '200 grams Sour cream', '100 milliliters Whipping cream (at least 30% fat content)', 'Salt', 'freshly ground Pepper', 'Nutmeg', '2 ripe Pears', 'Butter (for greasing the mold)', 'Pastry flour (for dusting the worktop)']","['pastry','scallions','salmon','egg','cream','cream','salt','pepper','nutmeg','pear','butter','flour']"
Quiche with Pancetta and Sauerkraut,"['200 grams Pastry flour', '1 pinch Salt', '1 Egg', '140 grams cold Butter', '0.5 bunch flat-leaf parsley', '1 Onion', '300 grams smoked Pancetta (in slices)', '500 grams Sauerkraut (canned or fresh)', '4 Juniper berries', '1 teaspoon Caraway', '1 Bay leaf', 'Salt', 'freshly ground Pepper', '125 milliliters dry White wine', 'Pastry flour (for the worktop)', 'Butter (for greasing the mold)', '5 Eggs', '200 milliliters Whipping cream (at least 30% fat content)', '60 grams grated Cheese (such as Emmentaler)']","['flour','salt','egg','butter','parsley','onion','pan','sauerkraut','juniper berries','tea','bay leaf','salt','pepper','wine','flour','butter','egg','cream','ale']"
Savoury Tart with Cheese,"['5 leaves Filo dough (each about 30 x 40 cm)', '40 grams Butter', '500 grams Cheese (such as Gorgonzola, Parmesan, ricotta, camembert)', '2 Eggs', '1 tablespoon freshly chopped Oregano', 'Salt', 'Cayenne pepper']","['filo dough','butter','camembert','egg','oregano','salt','cayenne']"
"Ground Lamb, Bacon and Salami Quiche","['1 small Cauliflower (divided into florets)', 'Salt', '0.5 Lemon (juiced)', '500 grams Pastry flour', '9 Eggs', '40 grams Butter', '1 packet Baking powder', 'freshly ground Pepper', '1 cup Milk', '2 Onions', '200 grams streaky smoked Bacon (in thicker slices)', '100 grams Salami', '500 grams Ground meat', '1 teaspoon ground paprika', '0.5 teaspoon ground Caraway', '250 grams Whipping cream', '1 tablespoon Cornstarch']","['cauliflower','salt','lemon','flour','egg','butter','baking powder','pepper','milk','onion','bacon','salami','ground meat','paprika','tea','cream','corn']"
Mini Quiches with Chicken and Mushroom,"['300 grams Pastry flour', '0.5 teaspoon Salt', '1 Egg', '200 grams Butter', '500 grams Chicken breast (ready to cook, skinless)', '3 Scallions', '350 grams Button mushrooms', 'Olive oil', '1.5 tablespoons Curry powder', 'Salt', 'freshly ground Pepper', '0.5 organic Lemon (juiced and zested)', '4 Eggs', '350 grams Whipping cream', 'Pastry flour (for the worktop)', 'Butter (for greasing the molds)']","['flour','tea','egg','butter','chicken','scallions','mushroom','oil','curry powder','salt','pepper','lemon','egg','cream','flour','butter']"
Quiche with Bacon and Onion,"['250 grams Pastry flour', '125 grams cold Butter', '1 pinch Salt', '1 Egg', 'Parchment paper (for blind baking)', 'Legumes (for blind baking)', '150 grams streaky Bacon', '3 Onions', '2 tablespoons Vegetable oil', '3 Garlic cloves', '4 Eggs', '150 grams Gruyére cheese (freshly grated)', '200 grams Whipping cream', 'Salt', 'Pepper (freshly ground)', 'Parsley (for garnish)']","['flour','butter','salt','egg','parchment paper (for blind baking)','legume','bacon','onion','oil','clove','egg','cheese','cream','salt','pepper','parsley']"
Spicy Mini Quiches with Feta,"['100 grams cold Butter', '300 grams Pastry flour', '1 Egg', '1 Egg yolk', '0.5 teaspoon Salt', 'Vegetable oil (for the pan)', '1 Pepperoncini', '6 tablespoons black, pitted Olives', '125 grams Feta cheese', '2 Eggs', '150 milliliters Whipping cream', 'Arugula (for garnish)']","['butter','flour','egg','egg','tea','oil','pepper','olives','feta','egg','cream','arugula']"
Vegetable Filo Pie,"['1 kilogram Pumpkin pulp', '500 grams Spinach', 'Salt', '2 Shallots', '2 Garlic cloves', 'Olive oil', '100 milliliters Vegetable broth', '250 grams crumbled Feta cheese', 'ground Cumin seeds', '400 grams Filo dough (sheets)', '3 tablespoons Sesame seeds', '1 teaspoon Poppy seeds']","['pumpkin','spinach','salt','shallot','clove','oil','broth','feta','cumin','filo dough','sesame seeds','poppy seeds']"
Quiche with Rapini and Bacon,"['150 grams Pastry flour', '100 grams Butter', '1 Egg', '1 teaspoon Salt', 'Pastry flour (for working the dough)', '500 grams baby Turnip greens', '150 grams smoked Bacon', '2 Onions', '1 tablespoon Vegetable oil', '4 Eggs', '150 milliliters Milk', '250 milliliters Whipping cream', '100 grams Creme fraiche cheese', '100 grams grated Gruyére cheese', 'Salt (and)', 'freshly ground Pepper']","['flour','butter','egg','tea','flour','turnip','bacon','onion','oil','egg','milk','cream','creme fraiche','cheese','salt','pepper']"
Meat and Vegetable Quiche,"['200 grams floury Potatoes', '100 grams soft Butter', '0.5 teaspoon Salt', '150 grams Pastry flour', 'Butter (for the pan)', '3 Bell peppers (red, yellow and green)', '2 Onions', '2 Garlic cloves', '1 stalk Celery', '4 tablespoons Olive oil', '500 grams mixed Ground meat', 'Salt', 'freshly ground Pepper', '1 tablespoon ground paprika', '200 milliliters Whipping cream', '100 grams Creme fraiche cheese', '3 Eggs', '1 teaspoon Thyme']","['flour','butter','tea','flour','butter','pepper','onion','clove','celery','oil','ground meat','salt','pepper','paprika','cream','creme fraiche','egg','tea']"
Quiche with Mushrooms and Dried Tomatoes,"['200 grams Pastry flour', '0.5 teaspoon Salt', '80 grams Butter', '100 grams Quark', '500 grams mixed Wild mushroom', '1 large Onion', '2 Garlic cloves', '2 tablespoons Olive oil', 'Pepper', 'freshly grated Nutmeg', '0.5 teaspoon grated Lemon peel', '50 grams finely grated Parmesan', '200 grams Whipping cream', '75 milliliters Milk', '4 Eggs', 'Pastry flour (to roll out)', 'Butter (for the mold)', '4 dried Tomatoes (in oil)', 'Arugula (for garnish)']","['flour','tea','butter','quark','mushroom','onion','clove','oil','pepper','nutmeg','tea','parmesan','cream','milk','egg','flour','butter','tomato','arugula']"
Bacon and Onion Casserole,"['0.5 cube Yeast (approximately 1.5 ounces)', '5 ounces lukewarm Milk', '1 pinch Sugar', '0.5 teaspoon Salt', '10.5 ounces Pastry flour', '36 ounces Onion', '6 ounces Bacon', '14 ounces Whipping cream', '3 Eggs', '0.5 teaspoon Salt', 'freshly ground Pepper', 'Fat (to grease the pan)']","['yeast','milk','sugar','tea','flour','onion','bacon','cream','egg','tea','pepper','pan']"
Swiss Potato Quiche,"['300 grams Puff pastry dough (frozen)', '600 grams day-old starchy Potatoes (cooked)', '1 Onion', '1 Garlic clove', '2 Tomatoes', '0.5 bunch Parsley', '100 grams grated Gruyére cheese', 'Salt', 'freshly ground Pepper', '100 liters Milk', '250 milliliters Whipping cream (at least 30% fat)', '3 Eggs', 'Nutmeg']","['pastry','potato','onion','garlic','tomato','parsley','cheese','salt','pepper','milk','cream','egg','nutmeg']"
"Shrimp, Leek and Celery Quiche","['150 grams Shrimps', '200 grams Celery', '1 stalk Leek', '1 tablespoon Butter', 'Salt', 'freshly ground Pepper', '300 grams Whipping cream', '3 Eggs', '250 grams Pastry flour', '125 grams cold Butter', '1 pinch Salt', '1 Egg']","['shrimp','celery','leek','butter','salt','pepper','cream','egg','flour','butter','salt','egg']"
Vegetable Tart,"['400 grams Whole wheat puff pastry dough (frozen)', '2 Zucchini', '100 grams Button mushrooms', '1 small stalk Leek (only light parts)', '2 Onions', '1 tablespoon Butter', '1 Egg', '4 Sour cream', '150 milliliters Whipping cream', '5 tablespoons grated Mountain cheese (such as Allgäu mountain cheese, Gruyere, Appenzeller)', 'Salt', 'white Pepper', 'Nutmeg (freshly grated)', '2 tablespoons finely chopped Basil leaf', '1 handful Basil leaf']","['pastry','zucchini','mushroom','leek','onion','butter','egg','cream','cream','gruyere','salt','pepper','nutmeg','basil','basil']"
"Broccoli, Sausage and Tomato Tart","['450 grams Pastry flour', '1 cube Yeast (42 grams)', '1 pinch Sugar', '200 milliliters lukewarm Milk', '30 grams Butter', '1 pinch Salt', '1 Egg', '1 kilogram Broccoli', '2 Garlic cloves', 'Salt', '1 tablespoon freshly chopped Oregano', '6 Tomatoes', '600 grams raw Sausage', '1 tablespoon Butter', '800 grams crushed, canned Tomatoes', 'freshly ground Pepper', '250 grams Quark', '200 grams Whipping cream', '4 Eggs', 'Nutmeg']","['flour','yeast','sugar','milk','butter','salt','egg','broccoli','clove','salt','oregano','tomato','sage','butter','tomato','pepper','quark','cream','egg','nutmeg']"
Asparagus Quiche,"['300 grams Pastry flour', '2 Eggs', '150 grams Butter', 'Salt', '250 grams Potatoes', '50 grams Asparagus', '1 teaspoon Butter', '2 cups dried Lentils', 'Parchment paper', '250 milliliters Whipping cream', '3 Eggs', 'Pepper', 'Nutmeg', '1 tablespoon Lemon juice']","['flour','egg','butter','salt','potato','asparagus','butter','lentils','parchment paper','cream','egg','pepper','nutmeg','lemon']"
Asparagus Quiche,"['200 grams Pastry flour', 'Salt', '75 grams Butter', '2 tablespoons Buttermilk', 'Fat (for the pan)', '300 grams Asparagus tip', '100 grams Snow pea', '1 tablespoon Butter', '1 tablespoon Lemon juice', '1 bunch Fresh herbs', 'Salt', 'White pepper (freshly ground)', '200 milliliters Whipping cream', '1 Egg', '40 grams Gruyére cheese']","['flour','salt','butter','butter','pan','asparagus','snow pea','butter','lemon','1 bunch fresh herbs','salt','pepper','cream','egg','cheese']"
"Leek, Apple and Cabbage Quiche","['400 grams Pastry flour', '250 grams Butter', '1 pinch Salt', '1 Egg', 'Pastry flour (for dusting)', '3 Apples', '4 stalks Leek', '400 grams Smoked bacon', '500 grams Savoy cabbage', 'Salt', '150 grams Walnuts', '250 milliliters Whipping cream', '250 grams Creme fraiche cheese', '6 Eggs', '150 grams grated Cheese (such as Emmentaler)', 'freshly ground Pepper', 'Nutmeg']","['flour','butter','salt','egg','flour','apple','leek','bacon','cabbage','salt','walnut','cream','creme fraiche','egg','ale','pepper','nutmeg']"
Asparagus Tart,"['300 grams Pastry flour', '0.5 teaspoon Baking powder', '1 teaspoon Salt', '160 grams cold Butter', '1 Egg', '1 Egg yolk', 'Butter (for the pan)', 'Pastry flour (for the pan)', '800 grams green Asparagus', 'Salt', '4 Eggs', '220 milliliters Milk', '220 milliliters Whipping cream', '2 tablespoons Cornstarch', '200 grams grated Hard cheese (such as young Gouda)', 'Pepper', 'freshly grated Nutmeg']","['flour','baking powder','tea','butter','egg','egg','butter','flour','asparagus','salt','egg','milk','cream','corn','gouda','pepper','nutmeg']"
Leek and Ham Quiche,"['300 grams Puff pastry dough (frozen)', '150 grams Lettuce', '1 handful Parsley', '2 Onions', '1 Garlic clove', '500 grams Leek', '150 grams Ham', '2 tablespoons Butter', 'Salt', 'freshly ground Pepper', 'freshly grated Nutmeg', 'Pastry flour', 'Butter (for the pan)', '4 Eggs', '200 milliliters Whipping cream', '150 grams grated Hard cheese (i. e emmentaler)']","['pastry','lettuce','parsley','onion','garlic','leek','ham','butter','salt','pepper','nutmeg','flour','butter','egg','cream','ale']"
Mixed Vegetable Quiche with Pepitas,"['1.333 cups All purpose flour', '1 egg', '0.5 cup butter (in flakes)', 'softened butter (for the dish)', 'All purpose flour (for the work surface)', '0.875 cup cream', '3 eggs', '1.5 cups grated Hard cheese (e. g. Gouda, Gruyere, Parmesan)', 'Nutmeg', '0.5 teaspoon lemon zest', '2 young zucchini (cut into slices approx. 1/2)', '2 tomatoes (cut into slices approx. 1/2)', '4 scallions (cut into chunks)', '2 tablespoons Pumpkin seed (roughly chopped)']","['flour','egg','butter','butter','flour','cream','egg','gruyere','nutmeg','tea','zucchini','tomato','scallions','pumpkin']"
Baked Autumn Vegetable Quiche,"['1 packet Shortcrust pastry (defrosted if frozen)', '3 tablespoons Oil', '1 Red onion (finely sliced)', '4 slices Bacon (roughly chopped)', '16 ounces Pumpkin flesh (grated)', '3 tablespoons chopped parsley', '4 eggs (beaten)', '1.75 ounces Parmesan cheese (grated)', 'Parsley leaf (to garnish)']","['pastry','oil','onion','bacon','pumpkin','parsley','egg','parmesan','parsley']"
Potato Kugel,"['800 grams starchy Potatoes', '1 Onion', '1 bunch Parsley', '2 tablespoons Butter (plus more for baking dish)', '6 Eggs', '200 milliliters Milk', 'Salt', 'freshly ground Pepper', 'freshly grated Nutmeg']","['potato','onion','parsley','butter','egg','milk','salt','pepper','nutmeg']"
Swiss Chard Quiche,"['250 grams Pastry flour', '100 grams Butter', '1 Egg', 'Salt', '500 grams Spinach (or swiss chard)', '3 Scallions', '2 tablespoons Vegetable oil', 'Salt', 'Pepper', 'Nutmeg', '100 grams Ricotta cheese', '100 grams Whipping cream', '2 Eggs', '2 tablespoons chopped Pine nuts', '50 grams grated, old Gouda cheese', 'Pastry flour (for dusting)', 'Butter (for greasing)']","['flour','butter','egg','salt','spinach','scallions','oil','salt','pepper','nutmeg','ricotta','cream','egg','pine nuts','gouda','flour','butter']"
Quiche Lorraine,"['250 grams Pastry flour', 'Salt', '160 grams cold Butter', 'Fat (for the pan)', '250 grams sliced Smoked bacon', '250 milliliters Whipping cream (at least 30% fat content)', '3 Eggs', 'freshly ground Pepper', 'Nutmeg', '50 grams freshly grated Gruyére cheese']","['flour','salt','butter','pan','bacon','cream','egg','pepper','nutmeg','cheese']"
Mediterranean Veggie Quiche,"['150 grams Pastry flour', '175 grams Butter', '50 grams Cream cheese', '200 grams eggplant', '200 grams Zucchini', '5 Tomatoes', '2 Red Paprika', '2 Onions', '2 Garlic cloves', '4 tablespoons Olive oil', '2 tablespoons Tomato paste', 'Salt', 'freshly ground pepper', '1 teaspoon dried Thyme', '2 Eggs', '100 grams Creme fraiche cheese', '50 grams grated Parmesan']","['flour','butter','cream','egg','zucchini','tomato','paprika','onion','clove','oil','tomato','salt','pepper','tea','egg','creme fraiche','parmesan']"
Goat Cheese and Fig Tart,"['1 cup flour', '0.5 cup butter', '1 egg', '2 tablespoons honey', '0.5 teaspoon chopped, fresh rosemary', '1 pinch salt', '1 cup soft Goat cheese', '1 egg', '0.875 cup cream', 'kosher salt (to taste)', 'freshly ground Black pepper (to taste)', '4 fresh Figs (washed and halved)']","['flour','butter','egg','honey','rosemary','salt','cheese','egg','cream','salt','pepper','figs']"
Vegetable Tartlets,"['8.8 ounces Pastry flour', '4 ounces Butter', '1 pinch Salt', '1 Egg', '10 ounces Peas (frozen)', '3 Carrots', '4 Egg yolks', '7 ounces Whipping cream', '10 ounces Cream cheese', 'Salt', 'Pepper']","['flour','butter','salt','egg','peas','carrot','egg','cream','cream','salt','pepper']"
Herb Tart with Walnuts,"['3 tablespoons Walnuts (about 45 grams)', '1 piece Green cabbage (200 grams)', '7 ounces Sauerkraut', '5 tablespoons Canola oil', 'Salt', 'Pepper', '7 ounces Quark', '9 ounces Pastry flour (1050 type)', '1 teaspoon Baking powder', '4 ounces Cream cheese (13% fat)']","['walnut','cabbage','sauerkraut','oil','salt','pepper','quark','flour','baking powder','cream']"
Vegetarian Broccoli and Cauliflower Quiche,"['300 grams Pastry flour', '1 pinch Salt', '180 grams Butter', '1 Egg', '400 grams Broccoli floret', '400 grams Cauliflower florets', '400 milliliters Whipping cream', '5 Eggs', '125 grams grated Gruyére cheese', 'freshly ground Pepper', '1 pinch freshly ground Nutmeg', '2 tablespoons Sliced almonds']","['flour','salt','butter','egg','broccoli','cauliflower','cream','egg','cheese','pepper','nutmeg','almond']"
Vegetarian Quiche,"['200 grams Pastry flour', '0.5 teaspoon Salt', '125 grams cold Butter', '125 grams Quark', '1 Onion', '1 Garlic clove', '1 red Bell pepper', '1 orange Bell pepper', '0.5 Zucchini', '2 tablespoons Olive oil', '2 stalks green Asparagus', '100 grams Broccoli floret', '2 Tomatoes', '125 grams Feta cheese', '125 grams Quark', '3 Eggs', '150 milliliters Whipping cream', '1 teaspoon dried Oregano', 'freshly ground Pepper', '3 tablespoons Breadcrumbs', 'Sage leaf (for garnish)', 'Butter (for the pan)']","['flour','tea','butter','quark','onion','garlic','pepper','pepper','zucchini','oil','asparagus','broccoli','tomato','feta','quark','egg','cream','oregano','pepper','rum','sage','butter']"
Spinach Feta Quiche,"['300 grams Pastry flour', '1 pinch Salt', '1 Egg', '200 grams Butter', '1 kilogram fresh Spinach', '1 Onion', '1 Garlic clove', '2 tablespoons Olive oil', 'freshly ground Pepper', 'freshly grated Nutmeg', '350 grams Feta cheese', '4 Eggs', '3 tablespoons roasted Pine nuts', 'Pastry flour (for the desktop)', 'Butter (for the pan)', '1 Egg yolk', '3 tablespoons Whipping cream']","['flour','salt','egg','butter','spinach','onion','garlic','oil','pepper','nutmeg','feta','egg','pine nuts','flour','butter','egg','cream']"
Roquefort Quiche,"['180 grams Pastry flour', '1 pinch Salt', '1 Egg', '120 grams Butter', '120 grams Roquefort cheese', '3 Eggs', '100 grams Creme fraiche cheese', 'Pastry flour (for the work surface)', 'Butter (for the pan)']","['flour','salt','egg','butter','roquefort','egg','creme fraiche','flour','butter']"
Spinach Quiche with Feta and Mushrooms,"['250 grams Pastry flour', '125 grams Butter', '1 pinch Salt', '1 Egg', '600 grams Spinach', '1 Onion', '1 tablespoon Butter', 'Salt', 'freshly ground Pepper', '1 generous pinch Chili powder', '150 grams Button mushrooms', '150 grams Feta cheese', '100 grams Whipping cream', '1 Egg', '40 grams grated Parmesan']","['flour','butter','salt','egg','spinach','onion','butter','salt','pepper','chili','mushroom','feta','cream','egg','parmesan']"
Brussels Sprouts Quiche,"['250 grams Pastry flour', '100 grams Butter', '1 Egg', '1 pinch Salt', '350 grams Brussels sprouts', '300 grams Whipping cream', '4 Eggs', 'Salt', 'freshly ground Pepper', 'Nutmeg']","['flour','butter','egg','salt','sprouts','cream','egg','salt','pepper','nutmeg']"
Asparagus Frittata,"['softened Butter (for greasing the pan)', '150 grams green Asparagus', '1 handful Chives', '6 Eggs', '70 grams Creme fraiche cheese', '3 tablespoons Pastry flour', 'Salt', 'freshly ground Pepper', 'freshly grated Nutmeg']","['butter','asparagus','chives','egg','creme fraiche','flour','salt','pepper','nutmeg']"
